RANK,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
82,Armenia,5399,"5,519","5,278","1,654","1,434",820,668,558,54,210
83,Tajikistan,5377,"5,468","5,287","1,895",966,"1,005",518,572,118,304
84,Nepal,5377,"5,502","5,251","2,224",984,784,499,519,237,130
85,Bulgaria,5371,"5,485","5,257","1,235","1,625","1,163",640,563,123,21
86,Libya,5330,"5,543","5,118","1,544","1,476",943,606,477,106,179
87,Indonesia,5240,"5,341","5,139","1,300","1,382",883,539,620,468,47
88,Ivory Coast,5235,"5,384","5,085","2,652","1,094",442,322,451,149,124
89,North Macedonia,5199,"5,303","5,095","1,461","1,505",863,637,488,215,31
90,Albania,5199,"5,321","5,076","1,718","1,439",646,719,511,138,28
91,South Africa,5194,"5,315","5,073","1,742","1,425","1,088",361,442,89,46
92,Azerbaijan,5173,"5,265","5,082","1,098","1,458","1,093",560,601,23,341
93,Gambia,5164,"5,409","4,918","2,531",785,621,369,367,388,103
94,Bangladesh,5155,"5,262","5,049","1,967","1,060",614,581,622,125,187
95,Laos,5140,"5,263","5,018","1,709","1,239",654,479,679,197,184
96,Algeria,5122,"5,215","5,030","1,744","1,363",970,643,146,106,150
97,Liberia,5122,"5,428","4,815","2,844",636,670,309,405,178,80
98,Ukraine,5084,"5,190","4,978","1,331","1,411","1,081",583,473,188,17
99,Congo,5075,"5,235","4,915","2,658",950,405,355,431,130,146
100,Morocco,5060,"5,181","4,938","2,405","1,208",268,565,492,20,102
101,Mozambique,5048,"5,273","4,823","2,641",578,660,191,593,185,200
102,Cameroon,5048,"5,188","4,907","2,469",968,672,317,397,152,74
103,Senegal,5046,"5,171","4,921","2,419",933,530,447,494,143,81
104,Niger,5003,"5,247","4,760","2,667",570,560,326,571,165,145
105,Georgia,4973,"5,079","4,867","1,583","1,467",612,595,508,0,208
106,Gabon,4958,"5,091","4,826","1,892","1,459",738,396,343,32,99
107,Iraq,4941,"5,099","4,783","1,894","1,289",682,554,328,147,46
108,Venezuela,4925,"5,051","4,800","2,790",0,968,578,283,225,82
109,Guinea,4891,"5,028","4,753","2,538",848,566,275,334,214,116
110,Iran,4888,"4,995","4,780","1,427","1,410",741,642,281,241,146
111,Ghana,4872,"4,999","4,745","1,972","1,112",595,409,500,230,56
112,Turkey,4744,"4,845","4,644","1,059","1,707",865,702,209,87,115
113,Burkina Faso,4670,"4,814","4,527","2,313",779,565,320,382,186,126
114,Cambodia,4640,"4,765","4,516","1,410","1,019",732,505,740,166,68
